,Date,Month,Personal Consumption Expenditure (billions of usd),Core CPI (index 1982-1984=100),Unemployment (%),Supply (thousand barrels per day),Imports (thousand barrels per day),Production (thousand barrels per day),Price of Barrel (usd),Staggered Price of Barrel
214,1994-12-23,12-1994,4841.6,158.3,5.5,19491,6566,6703,17.1,17.71
215,1994-12-30,12-1994,4841.6,158.3,5.5,17859,7334,6675,17.71,17.62
216,1995-01-06,01-1995,4851.2,159.0,5.6,17692,7136,6651,17.62,17.55
217,1995-01-13,01-1995,4851.2,159.0,5.6,17340,6442,6672,17.55,18.45
218,1995-01-20,01-1995,4851.2,159.0,5.6,17121,6521,6571,18.45,18.34
219,1995-01-27,01-1995,4851.2,159.0,5.6,17105,6465,6526,18.34,18.5
220,1995-02-03,02-1995,4850.8,159.4,5.4,16966,5795,6662,18.5,18.42
221,1995-02-10,02-1995,4850.8,159.4,5.4,17766,7901,6595,18.42,18.55
222,1995-02-17,02-1995,4850.8,159.4,5.4,18514,6489,6613,18.55,18.75
223,1995-02-24,02-1995,4850.8,159.4,5.4,18222,5781,6546,18.75,18.5
224,1995-03-03,03-1995,4885.4,159.9,5.4,16863,6104,6660,18.5,18.27
225,1995-03-10,03-1995,4885.4,159.9,5.4,17861,8029,6598,18.27,18.13
226,1995-03-17,03-1995,4885.4,159.9,5.4,17059,6696,6632,18.13,18.69
227,1995-03-24,03-1995,4885.4,159.9,5.4,16781,6088,6474,18.69,19.12
228,1995-03-31,03-1995,4885.4,159.9,5.4,17665,8135,6380,19.12,19.43
229,1995-04-07,04-1995,4890.2,160.4,5.8,17563,6723,6554,19.43,19.53
230,1995-04-14,04-1995,4890.2,160.4,5.8,17114,6191,6597,19.53,20.26
231,1995-04-21,04-1995,4890.2,160.4,5.8,17499,8199,6603,20.26,20.29
232,1995-04-28,04-1995,4890.2,160.4,5.8,17561,8139,6539,20.29,20.24
233,1995-05-05,05-1995,4933.1,160.7,5.6,16665,5800,6604,20.24,19.74
234,1995-05-12,05-1995,4933.1,160.7,5.6,16984,7709,6610,19.74,19.98
235,1995-05-19,05-1995,4933.1,160.7,5.6,17673,7597,6598,19.98,19.37
236,1995-05-26,05-1995,4933.1,160.7,5.6,16365,6871,6626,19.37,18.92
237,1995-06-02,06-1995,4977.5,161.1,5.6,17521,7419,6592,18.92,19.05
238,1995-06-09,06-1995,4977.5,161.1,5.6,17662,7037,6593,19.05,18.91
